gen,bestIsSolutionB4start,dynamicConstraintsB4,currentOperator,sumDiff/AC,improvedChromes,affectedChromes,diversity,bestBeforeOpStarts
3,false,[1/81],interRaceX,4191527.05,66,100,419152.70499999524,5.781504E8
4,false,[1/81],interRaceX,5347717.65,62,100,491397.9299999952,5.56469784E8
5,false,[5/81],crossoverKempe,0.0,0,100,975604.8159999966,5.49243196E8
5,false,[5/81],crossoverKempe,0.0,0,92,975604.8159999966,5.49243196E8
5,false,[5/81],interRaceX,6720686.68,66,100,202312.68400000333,5.56469784E8
6,false,[5/81],crossoverKempe,0.0,0,100,1777758.5309999941,5.49243109E8
6,false,[5/81],crossoverKempe,0.0,0,67,1777758.5309999941,5.49243109E8
6,false,[5/81],interRaceX,5275363.2,43,100,2305294.850999999,5.56469784E8
7,false,[5/81],crossoverKempe,0.0,0,100,1987337.9440000057,5.49243109E8
7,false,[5/81],crossoverKempe,0.0,0,74,1987337.9440000057,5.49243109E8
7,false,[5/81],interRaceX,4552723.18,31,100,448042.8379999995,5.56469784E8
8,false,[5/81],mutationKemp1,0.0,0,100,1835585.0360000015,5.49243109E8
8,false,[5/81],mutationKemp1,0.0,0,64,1835585.0360000015,5.49243109E8
8,false,[5/81],interRaceX,5564437.38,33,100,2392028.7740000007,5.56469784E8
9,false,[5/81],mutationGroupSwap,0.03859369465208147,59,100,1727199.0690000057,5.49243025E8
9,false,[5/81],mutationGroupSwap,0.032177245354449206,46,55,1727199.0690000057,5.49243025E8
9,false,[5/81],interRaceX,6576162.83,40,100,505855.2480000019,5.56469784E8
10,false,[5/81],mutationGroupSwap,0.015419766205886844,40,100,1662163.2389999987,5.49243025E8
10,false,[5/81],mutationGroupSwap,0.021603495101444423,45,75,1662163.2389999987,5.4924299E8
10,false,[5/81],interRaceX,6503901.87,36,100,1589872.125999999,5.56469784E8
11,false,[5/81],mutationSwapCOP,0.0,0,100,1647709.4730000019,5.4924299E8
11,false,[5/81],mutationSwapCOP,0.0,0,64,1647709.4730000019,5.4924299E8
11,false,[5/81],interRaceX,6142525.93,33,100,2261962.0659999964,5.56469763E8
12,false,[5/81],mutationSwapCOP,0.0,0,100,1597122.9600000023,5.4924299E8
12,false,[5/81],mutationSwapCOP,0.0,0,64,1597122.9600000023,5.4924299E8
12,false,[5/81],interRaceX,7587926.43,38,100,534789.5970000029,5.56469763E8
13,false,[5/81],mutationKemp5,0.0,0,100,1691068.5850000023,5.49242984E8
13,false,[5/81],mutationKemp5,0.0,0,65,1691068.5850000023,5.49242984E8
13,false,[5/81],interRaceX,5636708.35,36,100,2254739.4200000046,5.56469763E8
14,false,[5/81],mutationKemp5,0.0,0,100,1676616.751999998,5.49242984E8
14,false,[5/81],mutationKemp5,0.0,0,63,1676616.751999998,5.49242984E8
14,false,[5/81],interRaceX,4769559.99,36,100,2153572.750999999,5.56469763E8
15,false,[5/81],mutationChangeTrack,0.0,1,100,1662162.9649999978,5.49242984E8
15,false,[5/81],mutationChangeTrack,0.0,3,57,1662162.9649999978,5.49242984E8
15,false,[5/81],interRaceX,5636756.62,42,100,664760.8090000034,5.56469763E8
16,false,[5/81],mutationClusterMulti,0.0,0,100,1705523.0129999993,5.49242984E8
